class_name,threshold,default_f1,tuned_f1,f1_change,default_precision,tuned_precision,precision_change,default_recall,tuned_recall,recall_change,auroc
Atelectasis,0.6100000143051147,0.31333208325520345,0.33055820936263136,0.017226126107427908,0.20134956018797445,0.2441532258064516,0.04280366561847715,0.70595690747782,0.5116180819602872,-0.1943388255175328,0.7528849601618067
Cardiomegaly,0.8600000143051147,0.18041021347844285,0.3205699020480855,0.14015968856964264,0.10215690922019435,0.3191489361702128,0.21699202695001843,0.7710196779964222,0.3220035778175313,-0.44901610017889093,0.8869339298271595
Effusion,0.6600000262260437,0.43618414425304725,0.46975891724235164,0.03357477298930439,0.3011545416608708,0.382548794489093,0.08139425282822221,0.7907231555880204,0.6084733382030679,-0.1822498173849525,0.8422910995544586
Infiltration,0.5600000023841858,0.37816641832013176,0.38513135830072665,0.006964939980594886,0.2741018644838563,0.3049122289423219,0.030810364458465578,0.6096080910240202,0.522629582806574,-0.08697850821744624,0.6828868054365742
Mass,0.6600000262260437,0.19533185552223237,0.23404791929382093,0.038716063771588566,0.11464870656666157,0.16401555319901026,0.04936684663234869,0.659330985915493,0.4084507042253521,-0.25088028169014087,0.7565520158483785
Nodule,0.699999988079071,0.15610433402757115,0.18148929755803436,0.02538496353046321,0.08907753254103,0.14548090865152247,0.05640337611049247,0.6306089743589743,0.24118589743589744,-0.38942307692307687,0.6713944615881066
Pneumonia,0.7900000214576721,0.04263601816665122,0.06822262118491922,0.025586603018267998,0.021934007247758916,0.039480519480519484,0.017546512232760568,0.759075907590759,0.2508250825082508,-0.5082508250825082,0.7121874544490749
Pneumothorax,0.7599999904632568,0.24129784217987085,0.3080477474008471,0.06674990522097626,0.14450103754008678,0.2582311168495804,0.11373007930949361,0.7309160305343512,0.3816793893129771,-0.34923664122137404,0.8345776466508776
Consolidation,0.7300000190734863,0.14642717688402968,0.19252601702932828,0.04609884014529861,0.08034279592929834,0.12262729737872853,0.04228450144943019,0.8250825082508251,0.44774477447744776,-0.3773377337733773,0.7774322517076249
Edema,0.9100000262260437,0.1099236641221374,0.2131979695431472,0.10327430542100981,0.05856255545696539,0.15705128205128205,0.09848872659431665,0.8939051918735892,0.33182844243792325,-0.562076749435666,0.8823088850693236
Emphysema,0.6899999976158142,0.15108773607458761,0.2040358744394619,0.052948138364874275,0.08633879781420765,0.14432989690721648,0.05799109909300883,0.6042065009560229,0.3479923518164436,-0.2562141491395793,0.8300977726730132
Fibrosis,0.7799999713897705,0.06776432167641856,0.10945945945945947,0.0416951377830409,0.03553082191780822,0.07111501316944688,0.035584191251638655,0.7302052785923754,0.2375366568914956,-0.49266862170087977,0.7735018099537296
Pleural_Thickening,0.699999988079071,0.13547434477667036,0.1629913710450623,0.027517026268391948,0.07713324926439681,0.11921458625525946,0.04208133699086265,0.556060606060606,0.25757575757575757,-0.29848484848484846,0.7510535538253329
Hernia,0.9300000071525574,0.02066340402392605,0.07981220657276995,0.0591488025488439,0.010476978218913703,0.04533333333333334,0.03485635511441963,0.7450980392156863,0.3333333333333333,-0.411764705882353,0.8925017287118665
