class_name,threshold,tuned_f1,tuned_precision,tuned_recall,default_f1,default_precision,default_recall,auroc
Atelectasis,0.6399999856948853,0.3545374963524949,0.270782259861823,0.5133079847908745,0.3358267716535433,0.21891441036827922,0.7207435572454584,0.7773416000983593
Cardiomegaly,0.9399999976158142,0.3506944444444444,0.3406408094435076,0.3613595706618962,0.2339930151338766,0.1397288842544317,0.7191413237924866,0.9055689347586242
Effusion,0.6600000262260437,0.5031928480204342,0.4114643768855883,0.6475529583637691,0.46619946091644204,0.33073275202692365,0.789627465303141,0.862614180322814
Infiltration,0.5099999904632568,0.3931784107946027,0.3123418192645526,0.5304677623261694,0.3919041568342712,0.30567747416112134,0.5458912768647282,0.6902308025769631
Mass,0.7300000190734863,0.30688524590163935,0.2445141065830721,0.4119718309859155,0.2515680623834548,0.15578416964098257,0.653169014084507,0.8064598897878061
Nodule,0.6800000071525574,0.21445378151260505,0.18471337579617833,0.25560897435897434,0.1862551114628677,0.11147955155534502,0.5657051282051282,0.7068029852675501
Pneumonia,0.7699999809265137,0.08755760368663594,0.057057057057057055,0.18811881188118812,0.06382978723404255,0.0345679012345679,0.4158415841584158,0.7213435167484923
Pneumothorax,0.8100000023841858,0.397456279809221,0.3405994550408719,0.4770992366412214,0.2984014209591474,0.18810649415277433,0.7213740458015268,0.8723713564045573
Consolidation,0.699999988079071,0.20759101471727343,0.13562753036437247,0.44224422442244227,0.1743728813559322,0.09944324157129601,0.7073707370737073,0.7847106184009058
Edema,0.8999999761581421,0.23957409050576753,0.19736842105263158,0.3047404063205418,0.18411651552624347,0.10481852315394243,0.7562076749435666,0.8988083593228422
Emphysema,0.9200000166893005,0.28811973807296537,0.28205128205128205,0.2944550669216061,0.19374068554396423,0.11475988700564972,0.621414913957935,0.8625765798343545
Fibrosis,0.8299999833106995,0.1347985347985348,0.08984375,0.2697947214076246,0.09922646038943718,0.05457746478873239,0.5454545454545454,0.7950036007847227
Pleural_Thickening,0.7699999809265137,0.19548872180451127,0.13229780396357793,0.37424242424242427,0.13387423935091278,0.07462167333449296,0.65,0.7746244145182759
Hernia,0.8999999761581421,0.3333333333333333,0.25806451612903225,0.47058823529411764,0.22745098039215686,0.14215686274509803,0.5686274509803921,0.9281237100391492
